name,street,city,state,zip,country,latitude,longitude,description,website,hours,contact_email,contact_phone,rules,booking_url
"Pennhurst State School & Asylum","601 N Church St","Spring City","PA","19475","USA","40.1937","-75.5602","Infamous institution; abuse history; overnight investigations.","https://pennhurstasylum.com/","7pm–2/3am overnights","Contact form","(484) 886-6080","18+; equipment OK","http://secure.interactiveticketing.com/1.43/ec53d5/"
"Crescent Hotel & Spa","75 Prospect Ave","Eureka Springs","AR","72632","USA","36.4083","-93.7372","""America's Most Haunted Hotel""; morgue, spirits. Lockdowns & investigations.","https://crescent-hotel.com/","Nightly ghost tours from 7pm","reserveeureka@gmail.com","(479) 253-9766","Guided; equipment on events","https://www.reserveeureka.com/attractions/crescentghost"
"Whaley House","2476 San Diego Ave","San Diego","CA","92110","USA","32.7527","-117.1945","""America's Most Haunted House""; evening tours & after-hours investigations.","https://www.whaleyhousesandiego.com/","Day 10am–5pm; evening paranormal","WhaleyHouse@historictours.com","(619) 273-5824","Equipment on investigations","https://www.whaleyhousesandiego.com/san-diego-paranormal-investigation-tickets/"
"USS Hornet","707 W Hornet Ave","Alameda","CA","94501","USA","37.772","-122.302","WWII carrier; overnights & private investigations.","https://uss-hornet.org/","Scheduled paranormal","info@uss-hornet.org","(510) 521-8448","Guided/private; waivers","https://uss-hornet.org/program-types/paranormal/"
"Brushy Mountain State Penitentiary","9182 Hwy 116","Petros","TN","37845","USA","36.110","-84.442","Violent prison history; 4-hour & overnight investigations.","https://tourbrushy.com/","Evening/overnight (10pm start)","Contact form","(423) 324-8687","Guided; equipment OK","Site events"
"Rolling Hills Asylum","11001 Bethany Center Rd","East Bethany","NY","14054","USA","42.881","-78.133","Former poor farm/asylum; public & private hunts.","https://rollinghillsasylum.com/","Scheduled evening hunts","Contact form","(585) 502-4066","Waivers per event","Official events"
"West Virginia Penitentiary (Moundsville)","818 Jefferson Ave","Moundsville","WV","26041","USA","39.916","-80.742","Gothic prison; executions/riots. Public ghost hunts.","https://wvpentours.com/","Evening hunts","Contact form","(304) 845-6200","18+ typical","Site tours/paranormal"
"Battleship North Carolina","1 Battleship Rd","Wilmington","NC","28401","USA","34.236","-77.954","WWII battleship; sailor deaths. Overnight hunts.","Haunted Rooms partners","Scheduled overnights","Varies","Varies","Group events; equipment OK","https://www.hauntedrooms.com/north-carolina/ghost-hunts/battleship-north-carolina-wilmington"
"Jennie Wade House (Gettysburg)","548 Baltimore St","Gettysburg","PA","17325","USA","39.830","-77.231","Civil War civilian death; overnight hunts.","US Ghost Adventures","Evenings/overnights","Contact form","Varies","Guided; respect site","https://usghostadventures.com/haunted-houses/jennie-wade-birthplace/"
"Fort Mifflin","6400 Hog Island Rd","Philadelphia","PA","19153","USA","39.876","-75.208","Revolutionary War fort; casemate investigations.","https://fortmifflin.us/","Scheduled events","fortmifflininfo@gmail.com","(856) 831-5690","Equipment OK; weather dependent","Site events"
"Missouri State Penitentiary","115 Lafayette St","Jefferson City","MO","65101","USA","38.572","-92.168","Oldest prison west of Mississippi (until 2004); 3-hour hunts & overnights.","https://missouripentours.com/","Scheduled hunts/overnights","info@missouripentours.com","(573) 632-3999","Age restrictions vary; check site","Site tours page"
"Lemp Mansion","3322 De Menil Pl","St. Louis","MO","63118","USA","38.615","-90.209","Famous for suicides & hauntings; restaurant with ghost tours/events.","https://lempmansion.com/","Dinner + tours; paranormal events","Contact form","(314) 664-8024","Guided mostly; check for investigations","Site events"
"Hotel Monte Vista","100 N San Francisco St","Flagstaff","AZ","86001","USA","35.198","-111.652","Historic hotel with multiple spirit reports; ghost tours & stays.","https://hotelmontevista.com/","24/7 hotel; nightly tours","info@hotelmontevista.com","(928) 779-6971","Equipment on some events","Site reservations/tours"
"Berkeley Plantation","12602 Harrison Landing Rd","Charles City","VA","23030","USA","37.322","-77.175","Colonial plantation; Civil War ghosts. Public ghost hunts.","Haunted Rooms partners","Scheduled hunts","Varies","Varies","Group events","https://www.hauntedrooms.com/virginia/ghost-hunts/berkeley-plantation"
"Historic Palmyra Ghost Hunt","Various (downtown)","Palmyra","NY","14522","USA","43.064","-77.234","Historic village with multiple haunted buildings; full ghost hunts.","Haunted Rooms","Evenings/overnight","Varies","Varies","Equipment allowed","https://www.hauntedrooms.com/new-york/ghost-hunts/historic-palmyra"
"Whispers Estate","410 Main St","Mitchell","IN","47446","USA","38.733","-86.460","Victorian mansion with child spirits & activity; overnight hunts.","American Hauntings partners","Scheduled nights","Varies","Varies","18+; waivers","American Hauntings events"
"Landoll's Mohican Castle","5611 SR 3","Loudonville","OH","44842","USA","40.612","-82.233","Stone castle with haunted cottages; ghost walks & investigations.","https://landollsmohicancastle.com/ghosthunts/","Scheduled paranormal events","Contact form","(419) 994-3427","Guided or private","https://landollsmohicancastle.com/ghosthunts/"
